name,max_ndvi,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,20140101_N
forest,7519.25,6998.9,6934.42,2846.59,639.65,3041.1,6709.59,1294.83,7204.99,1755.42,7519.25,7395.86,536.562,1781.99,2959.68,4882.52,703.491,3371.65,628.348,5397.08,5466.12,5646.69,2468.32,517.079,1310.85,6881.32,525.853,1086.59
forest,7994.5,7695.54,7994.5,4439.02,6445.21,6132.36,6896.77,3014.6,3262.79,7485.97,7476.02,2425.28,3806.79,5541.27,5208.89,1186.98,549.734,4693.68,6339.94,4705.2,3461.66,999.827,5752.43,983.765,3162.39,7120.15,7206.47,7107.67
forest,7716.13,2969.31,694.163,655.474,4297.57,6000,4834.25,531.118,832.058,776.3,7138.66,1451,838.589,502.05,1043.46,279.636,3837.84,576.438,7467.29,880.092,7716.13,1230.55,331.02,872.401,393.427,6516.09,608.045,4698.6
orchard,7812.61,7130.13,945.708,5780.2,5396.83,916.42,1082.96,949.238,7812.61,2386.34,2839.1,1796.08,2032.11,807.867,956.057,696.369,3364.14,3853.58,482.847,3767.08,3388.45,4653.78,389.505,2306.97,848.15,6918.69,790.072,3324.03
forest,7191.25,3402.19,6367.96,2392.61,1990.1,4760.41,4651.51,3268.69,6561.58,7191.25,6272.45,636.226,3196.49,6963.2,7163,7161.69,551.47,1542.24,6734.54,6289.55,3041.42,3800.44,579.128,754.893,3608.39,6731.1,1382.81,774.485
forest,7350.3,5467.75,4646.27,228.308,802.932,1516.57,5560.09,1061.95,5571.13,7314.66,7350.3,7003.03,419.178,757.826,881.165,388.905,2152.66,2095.38,6250.78,2549.02,3617.02,6042.25,318.694,7146.65,3239.75,6530.67,4283.63,838.464
forest,7478.73,7345.7,6372.69,4655.19,5680.07,3744.71,2100.44,6004.02,6789.05,6979.19,7353.76,671.868,3190.79,2873.62,4588.83,7478.73,1607.34,5685.93,7420.65,6030.63,3379.06,3871.75,2519.59,390.716,4130.81,6732.14,4641.19,822.393
impervious,4381.54,3890.63,4381.54,1996.11,3147.24,3463.92,4184.8,3751.72,2026.5,630.041,3323.59,564.025,3164.87,2224.74,4352.67,4149.25,939.059,696.709,689.042,3719,3526.86,1891.54,428.026,432.071,460.473,4262.65,486.043,428.994
forest,7498.73,5293.14,5486.6,4397.55,2148.3,283.128,6568.67,7140.14,7498.73,5978.58,5826.19,4529.48,824.042,3130.43,857.437,980.098,2852.2,1207.31,2351.1,852.876,1732.38,1585.21,536.811,4387.79,2458.17,6476.01,1499.1,5923.69
forest,7237.44,969.318,630.984,5435.76,2189.17,1905.43,7237.44,6937.79,7015.78,5430.38,6760.47,605.34,494.606,2256.36,762.203,502.422,3664.67,1162.29,661.616,1380.5,379.754,5268.09,1007,1917.91,5362.02,6313.48,2167.57,3834.15
forest,8468.03,7781.73,8468.03,8418.84,4685.25,4018.07,1614.38,4510.22,2479.82,8321.65,6543.29,836.451,7238.4,7605.89,5308.94,4756.54,425.895,5017.76,8309.71,7050.64,4711.03,747.158,687.52,901.969,8102.41,8094.24,1283.06,1306.41
impervious,3364.8,3364.8,1916.55,1951.16,1756.36,500.094,1655.18,658.834,1268.38,2008.04,2183.73,3260.8,1858.55,2369.76,1667.81,1920.27,978.233,2629.16,2732.62,2224.84,2414.98,1234.21,2465.73,1500.49,876.533,2214.39,2438.75,2441.3
impervious,7597.75,5604.79,2898.35,2614.45,2754.04,2790.5,3068.22,3353.99,4183.38,4438.52,5037.79,361.7,5289.73,5284.82,3251.14,6856.29,460.842,1203.7,7597.75,4486.79,2786.17,693.623,883.819,486.681,409.367,4344.21,539.828,362.068
farm,7474.39,5935.51,1988.66,2110.53,2006.72,355.877,3580.5,3929.59,7393.94,2482.63,1781.76,2258.51,1546.82,1741.91,2767.73,4023.99,2120.01,6134.92,4993.33,894.936,2029.41,611.288,1874.53,2689.27,445.617,7474.39,789.234,6657.34
forest,6995.86,4932.08,5242.44,782.967,4634.23,2336.41,6906.15,549.104,6995.86,6953.58,6957.41,5428.66,930.586,2338.23,785.137,383.699,2631.31,1268.89,6127.37,790.975,1246.15,2306.28,701.474,6504.85,729.521,6554.51,5160.9,3996.97
farm,7706.93,2329.84,4633.4,4766.14,4199.05,1331.63,6761.34,6353.17,4681.21,4271.61,1527.94,1511.57,1931.82,2433.68,4312.69,1512.32,912.208,5583.7,5683.87,5070.9,4448.78,3858.34,2066.73,1479.93,352.509,7706.93,466.131,618.473
farm,7456.53,5224.57,5570.16,4562.68,2717.88,886.47,7456.53,5888.8,5882.25,3350.6,3617.63,439.677,1685.39,329.857,1000.05,819.531,1046.35,5858.81,6561.87,5546.96,6403.95,6166.07,3538.13,636.667,913.814,6851.73,392.928,6087.02
forest,8135.81,7773.75,8080.63,1739.64,2002.97,6879.39,696.998,5566.51,790.678,2373.89,2288.38,4985.63,1644.9,2617.21,2190.63,374.723,1581.86,4153.12,750.682,6919.75,8135.81,7005.87,1315.63,5816.49,497.308,5339.51,1444.38,5991.8
forest,7747.54,6264.9,7747.54,7492.03,7594.19,7585.6,6589.03,6105.85,7386.13,7501.61,7344.77,991.893,5773.55,5627.39,5270.52,985.404,973.888,4071.15,6423.9,3764.68,2009.64,404.904,3782.84,1330.17,908.441,7434.19,1224.92,2874.13
forest,7916.15,4952.32,6387.46,7710.64,1950.22,456.147,3901.04,4756.84,7916.15,477.856,904.453,1160.37,863.906,427.656,593.575,775.934,993.128,3193.17,1037.26,4721.19,566.099,803.589,459.322,1062.8,604.348,6903.26,494.002,711.453
farm,7167.41,6749.76,4436.37,632.635,4746.78,615.244,5954.19,3493.33,4757.83,1042.7,7167.41,1882.27,1834.74,3359.26,4034.71,3240.67,994.951,6029.25,6899.82,1090.74,5804.57,1254.43,400.032,1751.32,495.225,6031.67,1228.96,4417.84
forest,7622.22,6323.56,6547.6,6055.91,7068.95,6980.94,1091.54,334.153,2770.43,7622.22,7494.92,909.179,3420.08,3489.67,1657.67,338.125,2282.5,2610.83,6931.32,3389.06,3859.82,1899.56,510.876,5674.66,1865.55,6386.49,2429.91,6468.41
forest,8138,7728.93,402.112,8138,4357.41,465.273,477.484,2213.01,1122.89,1462.56,402.02,379.523,1497.74,398.715,1141.54,300.748,1378.1,4301.21,987.963,7350.08,1727.4,4513.76,257.663,2067.8,687.885,6971.56,397.235,803.315
forest,7951.19,5819.46,7062.34,797.297,2395.86,6669.24,5448.06,6593.37,7293.36,7428.06,5899.52,696.18,3864.52,5595.73,7951.19,6768.16,463.684,1439.23,7105.65,6034.64,3659.54,978.525,1945.44,904.708,4643.97,6957.9,1345.99,564.116
water,4685.71,2385.48,1513.28,1603.39,2032.32,443.745,1870.77,3919.6,3250.46,2443.69,2525.47,4685.71,3050.02,3088.75,29.772,2375.92,1655.93,3156.7,2952.28,2285.76,1218.22,1763.77,2468.55,1415.74,529.592,1302.73,778.662,3471.91
farm,7797.17,2015.15,3679.95,2361.36,3444.3,733.762,5409.8,6037.77,6936.6,2060.35,4884.03,1308.75,1038.74,2023.99,726.542,388.546,625.521,1729.76,2314.9,4232.57,4887.44,3589.35,2738.15,1178.08,1473.46,7797.17,1595.96,4735.68
forest,7880.5,7486.31,721.611,7880.5,7407.82,7518.82,7486.24,1702.43,6913,1550.2,7504.39,1643.64,938.457,484.971,1132.68,860.983,3939.96,662.7,7187.04,5760.54,937.343,6253.35,337.851,7750.65,493.814,7203.03,569.664,1962.59
impervious,1194.58,1090.66,434.674,244.61,1170.41,785.733,677.314,613.387,445.213,1034.74,1156.1,410.752,1083.75,469.593,1112.75,936.242,472.118,749.077,749.797,23.331,1194.58,275.53,297.42,354.32,297.514,434.704,858.905,399.823
farm,7886.36,6504.63,7100.06,6054.62,5420.12,361.05,6116.41,5123.82,7808.48,4154.9,7886.36,940.082,1442.15,3847.28,838.969,1115.95,2712.43,4097.37,5825,3493.61,5028.29,3593.53,1007.04,1284.9,434.071,7428.55,1098.71,7026.7
forest,8272.82,7483.02,844.038,7308.01,5868.94,7857.7,6209.91,5928.67,8272.82,775.435,8073.88,1691.28,650.182,546.771,982.968,1367.96,3318.78,745.519,7614.94,1458.83,4976.86,693.839,363.345,5459.06,2148.43,7593.65,543.388,7901.51
forest,8082.25,7714.35,2228.06,5498.29,8082.25,386.598,5186.47,741.134,7889.9,1378.36,378.699,2579.22,745.553,364.702,622.939,1559.7,1494.78,2845.18,3467.07,6791.79,1071.78,1523.15,253.278,1144.85,528.87,6607.79,456.598,475.873
forest,8133.12,931.7,4765.47,8133.12,2526.42,303.466,7382.98,3921.41,5410,721.621,3276.02,209.136,637.526,348.444,1049.55,574.894,1842.09,1444.05,1443.5,471.797,508.581,1841.83,360.661,776.565,467.144,5625.92,433.458,560.298
farm,7704.17,4637.96,4119.68,4024.26,3585.5,6117.93,3415.48,1107.22,5038.14,3529.22,1592.77,1056.22,5858.45,4800.17,5939.3,1022.58,664.807,3108.98,6848.1,5386.59,1954.59,1610.31,1008.36,328.5,664.603,7704.17,1077.93,579.564
farm,7878.34,4442.14,3247.37,571.771,3789.54,1004.32,4921.08,3706.73,7878.34,2937.24,3463.55,947.85,2482.73,1292.62,2334.04,3749.6,802.276,2710.57,2078.05,936.219,3567.29,2979.51,300.999,1011.89,488.343,6207.73,1668.24,2224.73
farm,6696.1,3566.07,5529.45,3637.85,6696.1,5006.83,1096.69,2858.98,5678.88,5304.29,2701.69,478.6,803.66,451.857,656.739,601.742,625.428,5262.96,5178.12,3868.44,4042.7,4021.75,3319.71,3110.48,464.855,6204.59,1014.18,3049.45
forest,7948.36,7023.28,7384.27,6666.67,5321.06,5417.39,6473.91,845.133,7116.88,7047.36,5548.38,4197.9,7948.36,5739.02,7367.47,3477.61,508.162,968.457,3572.55,2197.86,2753.79,5102.26,649.072,5606.61,5705.51,6754.11,4508.32,1634.92
forest,8227.06,7509.89,7928.99,8227.06,5648.31,486.472,2092.25,6222.68,8211.01,1927.99,6411.66,2766.4,3359.27,1958.32,1702.76,1128.63,1703.3,2415.72,6453.69,3067.41,1770.32,6825.92,2050.17,7554.53,936.89,7843.95,969.938,5991.59
forest,7262.74,4457.16,4263.69,3401.21,6234.3,5247.37,7217.24,248.476,5669.76,7262.74,6724.68,3002.38,4033.23,3509.54,1475.56,305.439,3423.32,2565.7,5800.75,5071.15,5449.58,1070.73,577.23,5000,1141.01,6431.81,4710.67,2847.77
forest,8094.43,4776.82,6803.96,905.134,6253.97,6384.72,6797.12,7067.71,7724.96,7738.34,7642.5,647.455,7769.13,5449.15,8094.43,5410.32,659.517,5031.7,7878.55,6503.33,3502.6,6482.97,6974.72,598.749,6892.98,7644.1,5910.46,712.013
forest,8051.86,8051.86,2658.6,1015.55,7515.43,1126.59,4905.11,5537.65,557.775,1003.27,7267.19,373.711,796.299,459.987,728.443,378.67,3068.74,836.843,3571.4,2615.12,7131.38,1318.01,494.044,3840.5,788.57,6558.66,1818.99,2362.54
forest,7862.43,7396.71,642.735,755.508,6295.67,6304.69,5742.35,724.575,799.7,2246.87,7732.09,1758.54,791.213,443.366,1005.8,366.339,3785.56,664.306,6702.85,1572.49,7862.43,720.328,267.982,5769.35,484.715,7018.04,573.459,3048.03
farm,6360.71,6360.71,2813.92,4398.19,3575.06,681.645,5059.7,372.76,2479.43,763.206,668.853,372.889,470.55,1130.64,640.859,4040.98,2804.95,3478.87,1970.41,2060.59,489.728,3612.33,325.25,4636.72,636.814,6324.66,803.678,4581.14
forest,8054.64,1300.27,4433.32,8054.64,2198.17,6960.33,2507.43,7115.53,7526.62,7310.03,1124.98,1153.07,8018.07,1054.46,2971.02,721.275,713.267,4152.48,6544.48,5912.44,4074.28,492.731,3437.99,712.279,601.376,7348.47,4180.53,3860.49
forest,7098.05,3341.72,450.053,7098.05,2556.5,570.126,6851.17,3296.81,540.815,6315.3,7018.25,6396.38,515.386,4870.2,758.031,318.575,3711.1,1555.89,7085.23,1313.09,570.968,7023.59,538.364,790.905,4987.35,6217.78,3313.83,5270.01
impervious,7103.27,4603.93,2695.7,2868.53,3118.82,1566.26,3183.75,2967.91,1820.51,2686.65,2650.04,590.007,6240.11,2270.21,7103.27,2287.14,1369.23,2583.12,2661.06,2256.56,1296.1,534.003,1039.51,415.543,324.587,906.892,1035.41,1126.93
forest,7815.88,7712.55,747.443,7815.88,3726.15,506.768,7585.56,554.422,4171.35,712.231,2463.68,546.706,2795.92,400.544,441.429,797.679,1021.4,2499.76,6162.33,6831.25,2247.89,7153.9,492.249,544.414,814.14,7085.94,670.213,339.167
forest,7254.51,7007.05,3128.88,1118.86,7254.51,298.439,2092.98,2509.21,6877.15,7070.88,7241.8,5449.1,6616.49,410.24,3185.02,1415.4,1469.34,4247.25,6818.09,5391.22,1645.43,440.969,768.954,5714.15,311.036,6329.95,6852.92,830.314
forest,8296.52,3812.04,7676.79,7338.27,6835.48,7019.09,7341.38,7259.07,7543.21,7787.39,7772.73,504.372,4670.27,1273.47,8296.52,7696.37,647.036,5475.58,8136.37,1098.09,711.026,4256.54,5848.74,2454.81,7318.29,7734.56,4919.85,491.287
forest,7996.43,6307.28,7071.55,6972.96,2188.44,2160.32,6575.84,6383.59,1862.7,7636.84,7996.43,1628.06,3016.66,6963.9,7631.91,6786.52,461.096,1769.09,3655.2,1364.26,3358,395.431,2611.75,697.003,1217.46,6715.12,1228.46,615.233
forest,8248.4,7904.36,4166.8,8248.4,7820.85,1212.02,7872.95,706.308,7897.89,7456.25,6399.32,906.321,3933.58,6656.5,1148.21,853.943,488.37,2893.88,6784.85,3127.83,4577.03,1484.48,5582,1390.58,1972.7,7411.07,2699.64,1832.32
forest,8423.15,8110.62,8036.29,726.376,477.799,6820.53,6591.47,2584,6537.26,1811.62,4449.08,6980.46,1412.7,6256.78,1997.18,1323.25,1199.28,5776.54,698.575,5966,777.979,6196.25,2100.03,2774.35,598.356,8194.04,897.87,8423.15
forest,7897.2,7836.31,6883.67,6002.84,6493.89,6803.31,7265.04,506.921,7732.9,1162.76,7883.64,7731.31,7736.79,721.94,1345.21,240.069,5431.27,867.55,6860.59,5221.3,718.506,1198.07,317.128,6755.11,718.123,6766.42,1115.11,7897.2
forest,8225.17,7806.6,722.838,8225.17,8225.13,160.627,3577.3,6537.53,8038.64,723.691,368.766,320.43,3178.78,724.464,1037.24,391.104,1301.42,2063.97,919.763,1203.14,2800.2,6640.75,357.973,1914.84,482.253,7573.73,332.735,740.602
forest,7344.53,5917.8,6597.44,5913.43,6097.29,186.419,6224.05,6225.84,5211.2,1024.75,7344.53,5502.18,5918.06,1504.96,672.979,575.328,2430.29,1545.13,795.622,3915.71,593.723,4414.12,199.451,3505.3,4445.87,6265.33,744.874,4253.55
farm,7136.06,7136.06,6104.09,6458.58,6227.32,655.123,6343.09,6168.65,6474.59,1255,886.191,6516.74,6159.6,2133.37,4579.01,6215.6,983.002,6989.82,6822.92,5173.24,6466.07,5413.71,5944.72,1324.14,412.93,3594.38,1054.01,4177.44
forest,8056.42,7833.58,1110.44,7962.47,4109.35,310.868,997.988,938.98,8056.42,2778.74,330.721,336.504,3283.91,419.99,983.162,336.11,1325.43,4198.96,3433.14,6638.15,2407.1,4109.41,318.127,391.606,687.865,7284.29,370.774,850.354
forest,8110.81,5947.57,954.383,4406.93,2667.91,4936.09,4423.24,2522.3,6649,1597.84,6415.13,1948.65,716.54,557.888,980.743,1507.38,2951.72,657.518,6652.65,1220.69,965.396,608.302,330.348,5824.34,1427.87,7221.69,531.391,8110.81
forest,7930.74,5634.75,6041.24,927.885,6567.97,1279.56,7930.74,4346.39,4500.52,5384.62,7109.92,2089.37,947.786,600.206,725.146,456.405,3359.54,2263.17,6340.45,692.378,5415.5,1035.63,465.429,1271.7,3491.07,6440.5,3088.78,5705.06
farm,7803.44,5263.47,4189.27,3500.14,3728.5,345.777,1481.41,6416.14,7245.59,6234.66,2721.59,3114.24,3048.91,2028.48,733.214,762.198,1601.79,3914.07,3206.95,570.28,4371.54,2875.94,646.355,7803.44,553.61,6233.84,914.372,4050.6
forest,7853.54,7788.92,5513.21,6850.11,3241.51,7769.94,7820.35,4550.06,5088.84,7439.38,7623.93,1605.02,7853.54,2521.84,7812.69,2496,1075.53,1217.69,2831.16,2167.84,3479.72,1019.54,499.473,3864.73,4336.25,7579.05,7359.18,1348.74
grass,7048.56,7048.56,6684.45,3223.61,5670.23,1021.77,6007.5,5268.08,3273.34,6848.04,5462.03,3270.47,5209.76,5080.49,7010.87,2014.32,1025.57,3955.49,3225.03,5306.21,1325.51,1064.98,1339.18,958.341,1041.76,5878.04,4968.71,1260.67
forest,8139.74,7046.67,8102.03,7621.29,7738.99,7748.16,1710.93,258.186,7640.28,6665.4,7525.36,5422.56,7902.88,6964.01,2941.44,819.053,676.787,3863.5,8139.74,7063.25,2270.33,4620.67,2417.52,7975.08,7793.38,7484.86,1239.2,705.139
forest,8296.86,779.996,7956.48,8296.86,8231.18,316.005,7846.19,7608.4,840.315,2593.88,5176.42,1311,1270.24,480.429,1174.35,840.349,1840.26,1998.31,543.914,4035.71,355.655,853.331,307.389,3349.39,1919.77,6814.27,756.332,1008.92
forest,8377.81,7917.07,556.188,8328.54,8377.81,311.502,795.812,1460.24,2624.78,721.874,129.425,877.599,714.681,377.242,1121.26,454.03,903.898,2704.03,520.759,7553.93,7690.43,5472.55,342.969,934.894,425.646,6814.6,387.156,509.562
forest,7207.8,6559.06,7207.8,6969.48,4509.31,3926.52,5508.11,4812.35,5975.49,4310.77,6338.32,6458.8,931.235,4719.64,4186.99,3713.31,745.087,1297.56,5956.96,4046.52,1720.85,2386.76,3904.82,1132.62,4764.69,5094.75,5104.94,6014.52
farm,7426.88,6757.2,6968.46,3893.11,3963.88,4154.04,3135.3,2698.8,6600.3,6580.79,7222.37,1096.05,7303.31,6453.31,7426.88,6664.64,597.293,3203.47,669.331,6510.46,4846.85,3417.81,1905.27,1813.54,831.37,3529.19,7341.13,447.17
forest,7961.87,6303.49,7546.72,1195.07,7186.8,7426.44,7034.66,2010.24,7761.04,5296.82,7775,2908.24,7888.5,3446.33,5103.98,7373.5,903.917,3188.71,7961.87,5930.89,2564.02,3090.94,3914.65,6915.28,1572.43,7569.31,5372.37,5972.24
forest,8093.69,6216.03,6387.89,2053.54,5486.46,1280.01,5015.05,992.26,7081.62,6233.51,6075.06,1280.85,1178.53,534.798,824.998,771.405,2097.68,1494.29,6308.58,801.797,4591.98,3545.34,659.578,2269.7,3711.32,6820.1,1599.11,8093.69
forest,7721.66,6706.65,7072.05,2760.45,6893.63,2193.66,2575.02,6843.38,7595.51,7269.35,6073.17,508.276,2934.6,5244.64,1759.05,6544.71,550.468,5237.88,7721.66,6516.03,3105.05,5416.64,6735.85,1069.58,6516.79,7334.01,3874.91,452.378
forest,8353.24,1476.49,7833.72,1666.52,6320.17,3343.53,5394.84,7323.55,7949.01,8002.53,8012.08,828.919,8353.24,7437.36,8229.62,2375.05,424.956,5267.51,8052.5,3420.91,3824.92,609.339,7422.46,1404.38,1701.13,7843.7,1083.42,932.164
forest,8325.59,7931.1,1850.21,5488.01,8325.59,297.448,7510.58,3335.86,6200.95,1041.55,309.065,396.206,1006.87,502.097,905.524,360.433,1540.02,3892.24,556.055,5380.58,1025.99,7405.93,330.029,5247.34,485.247,7560.85,385.852,1189.12
forest,7837.18,7052.71,5582.98,748.109,7174.16,1615.17,2540.34,362.992,1576.82,622.07,7837.18,1685.58,1572.46,3620.82,902.217,1949.25,881.331,5557.88,4795.88,2279.83,5920.5,5915.24,6046.94,5942.41,764.287,4974.48,475.212,7484.24
forest,7590.49,4610.19,5760.26,6311.73,2735.64,7374.65,7561.02,896.291,6226.98,6606.54,7590.49,2692.22,5943.19,7125.48,2634.3,7261.97,772.615,3393.49,6614.53,1953.49,3605.17,647.773,1379.24,699.468,3197.01,6926.62,5412.94,3338.86
forest,8255.21,1719.88,4038.33,8255.21,8077.13,1894.39,8069.8,5211.81,4701.75,7813.94,7853.59,1818.79,6008.17,5502.15,8235.24,3868.24,480.088,1584.8,8165.4,645.841,4666.5,597.591,1130.77,2132.89,1521.73,7685.33,2937.35,516.913
forest,7736.52,1223.8,7254.75,7736.52,1830.82,484.781,7422.98,2221.62,723.871,7226.5,7038.09,2554.81,580.371,1946.13,814.145,296.843,4093.51,1508.98,7544.93,329.641,666.825,1900.44,1090.14,429.897,652.089,6418.59,1979.51,2683.62
forest,7898.86,7066.65,7882.89,954.127,5561.27,7585.14,7674.1,4167.64,7678.3,7689.89,7631.62,1630.75,7898.86,6728.74,6276.28,5198.2,653.53,1422.25,7797.53,919.54,3056.63,720.734,4390.1,1187.26,7091.85,7577.23,7447.24,1224.45
forest,7944.56,6936.07,1014.48,7944.56,3833.53,455.948,7899.67,7626.16,7925.44,1109.39,7627.09,5287.47,872.402,2290.78,678.956,2745.54,2770.73,4144.5,5405.97,563.13,1556.4,4798.45,1440.23,3177.02,1057.35,7271.77,1568.73,6452.52
forest,8025.04,6129.92,8025.04,751.45,822.429,488.755,806.758,7347.57,7294.56,2041.54,6778.34,6667.84,567.035,4762.37,1089.26,1098.88,2940.34,6528.56,7505.04,396.171,1994.79,1624.84,3161.03,487.821,3321.81,6622.58,5368.26,7265.89
forest,8280.63,6332.38,8142.88,6030.2,5650.38,7985.74,4886.98,970.107,8280.63,7432.78,8196.49,2226.31,4420.02,7443.82,3987.53,3389.89,847.26,1612.07,5462.03,2604.2,3716.14,383.774,1332.55,1010.31,2019.32,8265.37,8142.03,2691.81
forest,7830.04,7439.59,7490.89,5272.09,7702.13,7514.31,7632,1925.61,7590.95,1538.54,7810.39,7631.47,1574.69,2131.12,1222.74,223.423,3972.91,767.714,2482.95,6788.94,7815.62,1527.48,278.914,7369.39,699.532,6927.79,1333.31,7830.04
forest,8360.12,5942.97,7984.18,469.308,4137.96,7427.16,6409.97,7322.38,7099.86,8073.8,8028.27,172.936,8360.12,7470.63,7266.76,7528.58,504.137,5013.81,8036.65,265.953,2668.36,5967.26,7171.58,5324.16,7585.34,7924.73,7761.74,840.469
farm,6257.01,4913.89,4189.43,3978.84,3993.84,2580.56,5651.89,3849.33,6257.01,4787.12,1431.1,1887.27,3602.26,364.172,3747.26,514.758,824.662,4943.44,4601.61,3830.77,3943.3,3756.15,3501.28,1977.85,558.082,5671.5,394.446,1687.25
forest,8112.33,7062.99,488.18,2008.75,4958.4,463.687,7956.55,2423.22,958.534,8112.33,8071.13,2819.19,2272.56,370.523,1812.07,597.666,1792.68,3952.28,688.768,5109.23,1754.59,6535.46,2975.78,1325.96,361.987,7725.31,1037.89,5115.61
forest,8376.07,7668.54,7963.7,7369.87,5781.76,6080.59,7081.74,934.005,6698.53,6945.93,6075.12,1017.46,7963.81,7522.55,8376.07,7075.43,454.012,4051.9,2760.14,4849.35,3318.47,972.19,4675.83,2396.03,554.51,5833.4,1267.28,1833.41
forest,8281.15,7869.16,7240.47,8281.15,7483.97,346.905,2496.61,4069.63,2790.29,514.997,449.085,610.698,980.335,387.946,787.487,679.888,1208.19,2965.05,3763.5,6547.76,6157.68,5029.87,400.15,2868.22,506.306,5970.43,363.162,486.622
forest,8566.42,8024.18,8566.42,7553.93,7764.09,7659.47,7967.9,2968.58,7705.62,6484.69,7840.58,1636.79,8276.89,6782.93,8534.84,1074.5,407.92,2162,8260.76,6066.02,3148.83,1876.45,7456.29,1771.28,4219.38,7357.66,5642.88,5051.38
forest,8021.79,7560.31,6915.92,6775.72,5812.82,6273.61,6702.93,1380.52,7167.15,4194.05,7769.26,2454.99,8021.79,6068.63,1224.24,5573.8,701.293,4152.2,7104.87,5337.96,1970.23,1659.05,5241.79,6516.55,1853.99,7037.04,1036.44,593.358
grass,6902.45,6820.58,5035.36,4577.61,4251.5,4323.46,4150.38,4192.1,1939.04,6815.04,6902.45,2198.31,5624.94,1677.77,6364.89,2395.19,1581.11,4791.93,4707.48,3694.18,1424.54,2781.66,2142.79,735.302,2260.99,5268.05,1507.17,1315.23
forest,7978.07,7750.09,1708.61,7978.07,7833.81,387.789,7768.77,3082.56,4920.83,819.471,7501.13,2025.93,3018.67,402.208,3152.48,1135.01,2434.66,5366.01,4051.53,7081.51,728.758,6625.35,3080.66,874.497,582.27,7198.58,478.758,1326.51
farm,6962.4,5010.29,376.651,4088.41,6962.4,631.951,2604.54,1070.33,5690.47,2131.24,2237.72,918.471,2978.08,811.383,954.972,2743.45,2727.5,2635.12,420.436,1034.88,4285,5838.16,345.28,1612.47,605.211,5734.82,647.681,3617.19
grass,7271.66,6119.61,2429.06,4798.96,5378.13,4549.9,5025.55,4991.47,5310.29,6680.61,5851.9,2672.89,5472.27,3447.52,1632.31,3503.06,864.081,5130.43,681.552,5185.98,4571.93,648.705,2434.44,1856.19,1704.31,7271.66,5398.47,1444.65
forest,8092.59,6721.96,4923.13,5392.89,5712.09,1053.34,4517.52,6103.04,7341.31,7512.43,7674.54,541.539,1562.34,1871.13,1781.63,7677.34,865.032,5610.74,8092.59,6793.26,1005.03,4712.55,4039.12,442.605,6145.18,6541.35,985.897,679.882
grass,1921.55,1921.55,1310.42,1026.05,771.074,983.445,835.877,692.497,1295.8,768.386,1096.52,478.092,678.908,1802.96,1277.94,1365.75,642.543,949.2,761.345,1027.95,1075.63,817.57,428.66,476.946,337.73,934.277,747.36,359.672
forest,8168.93,7541.3,1132.1,8168.93,8131.75,205.096,672.533,1052.12,992.314,557.072,7749.01,791.435,765.72,534.57,2651.43,6419.34,1760.5,2682.8,654.866,5354.88,1126.02,4947.12,2772.85,5853.73,333.435,7322.92,491.708,1074.61
impervious,1565.34,1207.33,1058.76,212.078,1072.45,877.653,1043.28,1504.44,408.687,1053.34,1190.19,359.34,889.269,1095.06,1565.34,921.649,641.145,1340.26,224.041,1277.14,1553.7,-43.29,390.118,350.519,354.209,1186.81,959.609,824.652
forest,7861.95,7861.95,975.945,7546.07,7823.68,877.358,1209.06,359.264,7642.12,3122.37,6777.45,1179.05,1230.05,1397.55,1495.34,407.266,2780.35,2184.01,5669.64,6475.44,5133.21,7231.51,554.665,7298.96,930.371,7103.61,1229.46,634.455
forest,8068.78,7850.89,4385.44,580.027,7660.21,274.473,3256.53,893.733,5909.73,7973.54,8068.78,6283.69,7306.29,454.782,2614.41,1689.15,1592.13,4235.21,6921.56,6352.13,3643.3,701.964,796.222,2215.26,467.044,7309.27,5004.87,1718.64
forest,8363.58,7915.83,6506.2,8363.58,7333.94,564.803,720.681,487.29,2963.95,840.631,5584.13,2832.03,1131.21,364.656,480.045,3072.88,983.084,2963.75,3050.41,7601.22,1584.59,5964.09,355.671,280.482,589.148,3952.65,509.634,318.451
forest,8025.58,7801.64,5600.4,1902.06,8025.58,394.095,378.654,640.31,2294.62,2965.56,790.964,560.705,1131.99,271.923,996.567,457.242,1843.46,1365.55,7565.56,836.082,1413.22,6157.61,295.948,608.703,344.066,7317.7,430.876,460.646
forest,8148.07,7576.9,8148.07,779.516,7727.86,7867.62,3711.27,991.383,4114.12,2863.99,7485.91,1293.83,7800.27,6742.62,2575.09,6851.88,800.194,1956.01,1124.11,805.27,3253.66,638.592,2398.79,956.088,4135.9,7483.97,7217.83,5366.63
farm,7605.77,6952,1415.19,2857.88,2274.96,420.797,2152.63,3192.09,7590.81,2879.41,2783.15,2362.24,1386.95,1518.71,2618.88,3474.64,2075.12,3778.55,3576.15,2763.46,1522.99,2802.57,749.922,2371.45,568.28,7605.77,605.374,4159.21
